"gamma_v","variant","lmm_auc","gbm_auc","lmm_slope","gbm_slope","lmm_intercept","gbm_intercept","lmm_nb10","gbm_nb10","lmm_nb20","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","gbm_winrate_auc"
0,"outcome",0.776365774267395,0.783632354506196,1.00000000020124,1.00000000027399,-9.717517960691e-11,-5.32133286647659e-10,0.782777777777778,0.782851851851852,0.756541666666667,0.756291666666667,1,1,6.00833333333333,0.804333333333333,0.9
0,"treatment",0.786992813924141,0.791911196954869,1.00000000018488,0.999999998729677,-8.29637042052025e-11,3.90067716431818e-10,0.775925925925926,0.775944444444444,0.748833333333333,0.748791666666667,1,1,6.0415,0.798166666666667,0.85
0.8,"outcome",0.788225132086524,0.794272504627192,0.999999999945411,1.00000014059597,7.0459099968652e-10,-1.2674439309175e-07,0.771925925925926,0.771648148148148,0.74325,0.743333333333333,1,1,7.57,0.794666666666667,0.8
0.8,"treatment",0.783178914552886,0.79205480336379,1.00000000374476,1.00000000293572,-1.71000806387245e-09,-1.25495026930336e-09,0.780222222222222,0.780277777777778,0.753125,0.753166666666667,1,1,7.6455,0.802166666666667,0.9
