"cell_id","N","gamma_v","gamma_o","variant","rep","lmm_auc","lmm_slope","lmm_intercept","lmm_nb10","lmm_nb20","gbm_auc","gbm_slope","gbm_intercept","gbm_nb10","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","train_n","test_n","gbm_wins_auc","twin_delta_auc"
"C1_N500_g0",500,0,0,"outcome",11,0.843091334894614,1.20114870608153,-0.587017397831924,0.792592592592593,0.77,0.821428571428571,1.06116339721935,-0.406020275250483,0.792592592592593,0.771666666666667,0,1,6.056,0.84,350,150,0,-0.0216627634660422
"C1_N500_g0",500,0,0,"treatment",12,0.813585607940447,1.32142280645152,-0.154234933522073,0.807407407407407,0.783333333333333,0.821960297766749,1.27728401612095,-0.0917435768070194,0.807407407407407,0.783333333333333,0,0,6.264,0.818,350,150,1,0.00837468982630274
"C1_N500_g0",500,0,0,"outcome",13,0.77493422626166,0.937252965354654,-0.3412858147828,0.725925925925926,0.691666666666667,0.75747428844774,0.856621102466597,-0.237671064148606,0.725925925925926,0.691666666666667,1,1,6.172,0.788,350,150,0,-0.0174599378139201
"C1_N500_g0",500,0,0,"treatment",14,0.74579652322599,0.807253106426012,0.281932790687301,0.785925925925926,0.763333333333333,0.744656597321174,0.807974165941538,0.309894687425348,0.786666666666667,0.763333333333333,1,1,5.76,0.804,350,150,0,-0.00113992590481615
"C1_N500_g0",500,0,0,"outcome",15,0.726165254237288,0.929271137527467,-0.111561693636818,0.762962962962963,0.733333333333333,0.744438559322034,0.877774987310047,0.026076714484165,0.762962962962963,0.733333333333333,1,1,6.024,0.808,350,150,1,0.0182733050847457
"C1_N500_g0",500,0,0,"treatment",16,0.797018633540373,1.01577507709232,-0.286016358822427,0.740740740740741,0.708333333333333,0.76,0.738745403539513,0.0437744964579309,0.740740740740741,0.708333333333333,1,0,5.942,0.8,350,150,0,-0.0370186335403727
"C1_N500_g0",500,0,0,"outcome",17,0.78476551911087,1.10940345145761,0.0622284102991985,0.77037037037037,0.741666666666667,0.78720520466251,1.13053607870009,0.0374402011138912,0.77037037037037,0.741666666666667,1,1,5.928,0.786,350,150,1,0.00243968555164009
"C1_N500_g0",500,0,0,"treatment",18,0.721573097748646,0.635569840160238,0.457299835879213,0.785185185185185,0.758333333333333,0.735252208606441,0.64158430966836,0.467648044756325,0.785185185185185,0.76,0,0,5.918,0.814,350,150,1,0.0136791108577943
"C1_N500_g0",500,0,0,"outcome",19,0.788151364764268,1.21784886118346,-0.433834628587916,0.807407407407407,0.783333333333333,0.793114143920596,1.22866484166526,-0.418508183313094,0.807407407407407,0.783333333333333,0,0,6.292,0.836,350,150,1,0.00496277915632759
"C1_N500_g0",500,0,0,"treatment",20,0.788289509352128,0.713735603821591,0.187889549115411,0.77037037037037,0.743333333333333,0.796150718351857,0.747317166874508,0.141400983614018,0.77037037037037,0.745,0,0,5.77,0.796,350,150,1,0.00786120899972897
"C1_N500_g0",500,0,0,"outcome",21,0.850093984962406,1.67380626804347,-0.772197851556315,0.718518518518519,0.685,0.849389097744361,1.66035117137959,-0.776443137019685,0.718518518518519,0.685,0,0,6.06,0.776,350,150,0,-0.00070488721804518
"C1_N500_g0",500,0,0,"treatment",22,0.765733212887684,0.997237433909798,-0.0965067546678744,0.8,0.775,0.757000903342367,0.92170957818871,-0.0221131166063033,0.8,0.775,1,1,6.204,0.826,350,150,0,-0.00873230954531767
"C1_N500_g0",500,0,0,"outcome",23,0.64768,0.43995919597282,0.770573058064102,0.814814814814815,0.785,0.6416,0.374662716962376,0.863915588309077,0.808148148148148,0.786666666666667,0,0,6.2,0.828,350,150,0,-0.00608000000000009
"C1_N500_g0",500,0,0,"treatment",24,0.811612576064909,1.01018726443083,-0.39238425583672,0.741481481481482,0.711666666666667,0.806034482758621,0.973745280566679,-0.333008257653723,0.748148148148148,0.71,1,1,6.22,0.816,350,150,0,-0.00557809330628811
