P_U,RR_UD,p1,p0,RR_EU,B_bounding_factor,B_max_joint,E_value_RR_UD,Rstar,Rstar_Bmax,E_value_1.2,E_value_1.5,E_value_1.8,threshold_interpretation,robust_at_RR1.2,robust_at_RR1.5,robust_at_RR1.8,n_per_cell,false_robust_target,note
0.1,1.5,0.1,0.05,2.0,1.024,1.2,2.366,1.001,1.029,1.69,2.366,3.0,RR_obs>1.00 survives this bias (B=1.02); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.1 AYUSH background p0=0.05 -> B=1.024 R*=1.001; B_max=1.200 R*_max=1.029
0.1,2.0,0.1,0.05,2.0,1.048,1.333,3.414,1.002,1.067,1.69,2.366,3.0,RR_obs>1.00 survives this bias (B=1.05); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.1 AYUSH background p0=0.05 -> B=1.048 R*=1.002; B_max=1.333 R*_max=1.067
0.1,3.0,0.1,0.05,2.0,1.091,1.5,5.449,1.007,1.125,1.69,2.366,3.0,RR_obs>1.01 survives this bias (B=1.09); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.1 AYUSH background p0=0.05 -> B=1.091 R*=1.007; B_max=1.500 R*_max=1.125
0.44,1.5,0.44,0.1,4.4,1.162,1.347,2.366,1.02,1.071,1.69,2.366,3.0,RR_obs>1.02 survives this bias (B=1.16); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.44 AYUSH background p0=0.1 -> B=1.162 R*=1.020; B_max=1.347 R*_max=1.071
0.44,2.0,0.44,0.1,4.4,1.309,1.63,3.414,1.059,1.175,1.69,2.366,3.0,RR_obs>1.06 survives this bias (B=1.31); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.44 AYUSH background p0=0.1 -> B=1.309 R*=1.059; B_max=1.630 R*_max=1.175
0.44,3.0,0.44,0.1,4.4,1.567,2.062,5.449,1.151,1.361,1.69,2.366,3.0,RR_obs>1.15 survives this bias (B=1.57); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.44 AYUSH background p0=0.1 -> B=1.567 R*=1.151; B_max=2.062 R*_max=1.361
0.96,1.5,0.96,0.1,9.6,1.41,1.426,2.366,1.092,1.098,1.69,2.366,3.0,RR_obs>1.09 survives this bias (B=1.41); R*=outside typical 1.4-2.0,robust,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.96 AYUSH background p0=0.1 -> B=1.410 R*=1.092; B_max=1.426 R*_max=1.098
0.96,2.0,0.96,0.1,9.6,1.782,1.811,3.414,1.238,1.251,1.69,2.366,3.0,RR_obs>1.24 survives this bias (B=1.78); R*=outside typical 1.4-2.0,fragile,robust,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.96 AYUSH background p0=0.1 -> B=1.782 R*=1.238; B_max=1.811 R*_max=1.251
0.96,3.0,0.96,0.1,9.6,2.433,2.483,5.449,1.531,1.554,1.69,2.366,3.0,RR_obs>1.53 survives this bias (B=2.43); R*=1.4-2.0 typical,fragile,fragile,robust,10000,<5% at calibrated R* (RR_true=1 declared robust),P(U)=0.96 AYUSH background p0=0.1 -> B=2.433 R*=1.531; B_max=2.483 R*_max=1.554
