seed,level,method,trtr_auc,tstr_auc,gap
20260830,S1_plasmode_treat,logistic,0.8518866716807221,0.850894528812149,0.000992142868573076
20260830,S1_plasmode_treat,tree,0.7983889680113938,0.7814965355011122,0.016892432510281608
20260830,S1_plasmode_treat,rf,0.8210382295050487,0.8236246019426797,-0.002586372437631046
20260830,S1p_plasmode_outcome,logistic,0.8518866716807221,0.8485021843145413,0.0033844873661807995
20260830,S1p_plasmode_outcome,tree,0.7983889680113938,0.7912539405674417,0.007135027443952113
20260830,S1p_plasmode_outcome,rf,0.8210382295050487,0.8117548927045495,0.009283336800499198
20260830,S2_gan_epochs,logistic,0.8518866716807221,0.46418284232929546,0.3877038293514266
20260830,S2_gan_epochs,tree,0.7983889680113938,0.4952053095645773,0.3031836584468165
20260830,S2_gan_epochs,rf,0.8210382295050487,0.4924609143716695,0.3285773151333792
20260830,S4_resample,logistic,0.8518866716807221,0.8518426653438094,4.400633691270528e-05
20260830,S4_resample,tree,0.7983889680113938,0.7893536669280377,0.009035301083356151
20260830,S4_resample,rf,0.8210382295050487,0.8217663343521466,-0.0007281048470979545
20260830,S5_random,logistic,0.8518866716807221,0.49949192683746463,0.35239474484325745
20260830,S5_random,tree,0.7983889680113938,0.4833476020546959,0.3150413659566979
20260830,S5_random,rf,0.8210382295050487,0.4893144612824247,0.331723768222624
20260831,S1_plasmode_treat,logistic,0.8567332948939714,0.854999519507976,0.0017337753859953953
20260831,S1_plasmode_treat,tree,0.8135550804023319,0.7824111890575951,0.03114389134473683
20260831,S1_plasmode_treat,rf,0.8329669581651611,0.8182218591838042,0.014745098981356897
20260831,S1p_plasmode_outcome,logistic,0.8567332948939714,0.854082580562496,0.0026507143314754567
20260831,S1p_plasmode_outcome,tree,0.8135550804023319,0.8127802870139021,0.0007747933884297842
20260831,S1p_plasmode_outcome,rf,0.8329669581651611,0.8308868281119868,0.0020801300531743117
20260831,S2_gan_epochs,logistic,0.8567332948939714,0.6257207380357486,0.23101255685822286
20260831,S2_gan_epochs,tree,0.8135550804023319,0.5164828784675507,0.29707220193478123
20260831,S2_gan_epochs,rf,0.8329669581651611,0.4999219200461273,0.3330450381190338
20260831,S4_resample,logistic,0.8567332948939714,0.8567012620923826,3.20328015888105e-05
20260831,S4_resample,tree,0.8135550804023319,0.8190326894740214,-0.005477609071689482
20260831,S4_resample,rf,0.8329669581651611,0.8331351303735024,-0.00016817220834131064
20260831,S5_random,logistic,0.8567332948939714,0.5150874495483375,0.3416458453456339
20260831,S5_random,tree,0.8135550804023319,0.5070732430008329,0.30648183740149904
20260831,S5_random,rf,0.8329669581651611,0.5140043404446153,0.3189626177205458
20260832,S1_plasmode_treat,logistic,0.8637463746374637,0.8632343234323432,0.000512051205120545
20260832,S1_plasmode_treat,tree,0.8033243324332433,0.8080708070807082,-0.0047464746474649155
20260832,S1_plasmode_treat,rf,0.8403140314031403,0.8361056105610561,0.004208420842084171
20260832,S1p_plasmode_outcome,logistic,0.8637463746374637,0.8596979697969798,0.004048404840483966
20260832,S1p_plasmode_outcome,tree,0.8033243324332433,0.8071887188718874,-0.003864386438644063
20260832,S1p_plasmode_outcome,rf,0.8403140314031403,0.836009600960096,0.004304430443044294
20260832,S2_gan_epochs,logistic,0.8637463746374637,0.38008200820082005,0.4836643664366437
20260832,S2_gan_epochs,tree,0.8033243324332433,0.4460426042604261,0.3572817281728172
20260832,S2_gan_epochs,rf,0.8403140314031403,0.42591259125912584,0.4144014401440145
20260832,S4_resample,logistic,0.8637463746374637,0.8636263626362636,0.00012001200120015376
20260832,S4_resample,tree,0.8033243324332433,0.8000040004000399,0.003320332033203366
20260832,S4_resample,rf,0.8403140314031403,0.840930093009301,-0.0006160616061606783
20260832,S5_random,logistic,0.8637463746374637,0.5197559755975597,0.343990399039904
20260832,S5_random,tree,0.8033243324332433,0.47617761776177614,0.32714671467146716
20260832,S5_random,rf,0.8403140314031403,0.5072387238723873,0.333075307530753
