level,method,slope_mean,slope_sd,intercept_mean
S1_plasmode_treat,logistic,0.9197863749816086,0.0547669892898791,0.012048338765401428
S1_plasmode_treat,rf,1.2425442562618159,0.08850439901121626,0.0031167133672832595
S1_plasmode_treat,tree,0.561011750326656,0.031948806745931486,-0.0011509435948497265
S1p_plasmode_outcome,logistic,1.0301615519421026,0.06570131238581577,0.04809316828173585
S1p_plasmode_outcome,rf,1.346365455686638,0.05414780332687777,0.02567542948717629
S1p_plasmode_outcome,tree,0.6892911980865405,0.047938047508470166,0.02243744087161406
S2_gan_epochs,logistic,-0.1213673701236669,2.8750774304088784,0.44029251598530667
S2_gan_epochs,rf,-0.2704135541415041,0.4295152252977248,0.07327394859896398
S2_gan_epochs,tree,-0.11475593753025028,0.3112671040644049,0.06463537224439693
S4_resample,logistic,0.9805643813584979,0.06169098342054331,0.02790197547444444
S4_resample,rf,1.2957314728793055,0.047887174441846515,0.0034620139299683106
S4_resample,tree,0.748520556765159,0.054862903789827985,0.029887126451357646
S5_random,logistic,0.24006362547865157,0.20793144152280732,0.03413401381337633
S5_random,rf,0.058317357317298806,0.11971806164430482,0.03515048727178924
S5_random,tree,-0.0017601883898007524,0.08364623250932357,0.038739992423047966
TRTR,logistic,0.9796346491660115,0.06268562622276803,0.027963211636575853
TRTR,rf,1.2898633468196008,0.039165404829272256,0.007872488278001105
TRTR,tree,0.7089775437793352,0.06816254199292719,0.015077782472995687
