seed,level,mmd_max_gap,corr_fro,discriminative_auc,rmspe
20260830,S1_plasmode_treat,0.0805595800040659,0.4110755232636061,0.4809200198149621,2.629271282824863
20260830,S1p_plasmode_outcome,0.0719752803819736,0.3888389205767882,0.49085021013806196,1.3871988576970127
20260830,S2_gan_epochs,0.15775,4.003065741805019,0.6863661901956434,1.5516492543476783
20260830,S4_resample,0.0017164208451064256,0.008792853305547299,0.44485939779080413,0.03137362640551557
20260830,S5_random,0.06090749846816268,4.037807390502177,0.4734017439195902,1.3185175484911529
20260831,S1_plasmode_treat,0.026264527471958433,0.40459157585291877,0.4802551820795048,1.343535966282449
20260831,S1p_plasmode_outcome,0.05187806270157168,0.39544706563258264,0.48682020913482055,3.137541081909679
20260831,S2_gan_epochs,0.10875000000000001,3.9822696474912953,0.642531283098118,2.8897519858440908
20260831,S4_resample,0.0012073957757307227,0.008169512618234457,0.43731095109140916,0.03238992411170142
20260831,S5_random,0.049544978384654534,3.9741735328923364,0.4827640554315352,1.6707914573162876
20260832,S1_plasmode_treat,0.07328638612035827,0.34794650499702573,0.4849776262026011,4.536756557545996
20260832,S1p_plasmode_outcome,0.04625871742662588,0.39982014858577086,0.4808817422684168,3.4792200713722843
20260832,S2_gan_epochs,0.12876143782781105,3.964354268249425,0.617246199656176,5.046844887620453
20260832,S4_resample,0.001380519185873258,0.009529715476224011,0.4461605180960076,0.05865373121125138
20260832,S5_random,0.0646238532154491,3.957913939803028,0.4780162206033583,4.370273464396527
