grade,N,bmi_mean,mono_prev,age_mean,hba1c_observed_rate,generic_rate,ayush_rate,docs_rate,SMD_bmi,SMD_age,SMD_mono,SMD_exceed_0.1_flag,pct_SMD_gt0.1,S_score_AUC,overlap_diagnostic,ESS,ESS_ratio,trim_frac_alpha0.05,trim_frac_alpha0.10,method,S_visit_censoring
G0,5000,28.33,0.0,61.9,0.791,1.0,0.0,1.0,-0.001,-0.0,-0.207,1,33.3,0.5,benign,5000.0,1.0,0.0,0.0,"entropy_balancing/IPW resampling stub (logistic S-score, N=5k)","logit P(O) with p_asym=0.78, p_sym=0.80 (gamma_o graded)"
G1,5000,26.03,0.185,57.9,0.554,0.852,0.102,0.708,-0.46,-0.328,0.56,1,100.0,0.704,moderate,1657.9,0.332,0.001,0.009,"entropy_balancing/IPW resampling stub (logistic S-score, N=5k)","logit P(O) with p_asym=0.45, p_sym=0.80 (gamma_o graded)"
G2,5000,24.53,0.427,51.9,0.391,0.645,0.444,0.308,-0.76,-0.82,1.115,1,100.0,0.862,severe,238.4,0.048,0.054,0.166,"entropy_balancing/IPW resampling stub (logistic S-score, N=5k)","logit P(O) with p_asym=0.2, p_sym=0.80 (gamma_o graded)"
G3,5000,22.82,0.566,47.9,0.379,0.046,0.963,0.09,-1.101,-1.147,1.494,1,100.0,0.936,severe,59.8,0.012,0.294,0.472,"entropy_balancing/IPW resampling stub (logistic S-score, N=5k)","logit P(O) with p_asym=0.2, p_sym=0.80 (gamma_o graded)"
